Ident;Nazwisko;Imiê;specjalnoœæ;Region
1001;Ttbacki;Donat;4;RegD
1002;Htbacki;Maksymilian;4;RegA
1003;Nbbacki;Remigiusz;2;RegC
1005;Fnbacka;Tuskana;2;RegD
1006;Tubacki;Horacjusz;4;RegC
1007;Subacka;Gracja;3;RegB
1008;Gtbacka;Ignacja;3;RegD
1009;Ktbacki;Waleriusz;1;RegC
1010;Kebacka;Herenia;4;RegA
1011;Mwbacka;Laura;4;RegC
1012;Dmbacka;Honoryna;1;RegC
1013;Apbacka;Regina;3;RegD
1014;Udbacki;Wenerand;2;RegB
1015;Hbbacki;Honorat;2;RegD
1016;Dhbacki;Roman;4;RegC
1017;Mabacka;Fabia;4;RegB
1018;Fubacka;Tarsylia;1;RegC
1019;Rfbacki;January;2;RegD
1020;Mbbacki;Serwiusz;2;RegC
1021;Dmbacki;Rufus;4;RegB
1022;Tebacki;Maksymilian;1;RegB
1023;Rabacki;Julian;2;RegD
1024;Wtbacka;£ucjana;2;RegD
1025;Gnbacki;Barbacy;2;RegC
1026;Urbacka;Fabia;4;RegB
1027;Ndbacka;Potencjana;2;RegD
1028;Cobacki;Sylweriusz;1;RegB
1029;Lebacki;Fidelis;4;RegD
1030;Nhbacki;Turybiusz;3;RegD
1031;Otbacka;Konstantyna;1;RegD
1032;Oibacka;Aurea;4;RegD
1033;Ftbacki;Augustyn;3;RegB
1034;Wabacki;Eligiusz;4;RegB
1035;Obbacki;Treweriusz;3;RegA
1036;Rubacki;Dominik;2;RegB
1037;Rkbacka;Marcjanna;4;RegB
1038;Lbbacki;Remus;4;RegB
1039;Npbacka;Klara;1;RegA
1040;Ewbacka;Kamila;3;RegD
1041;Hfbacki;Klementyn;1;RegB
1042;Lcbacki;Arsacjusz;3;RegA
1043;Oabacka;Gaja;4;RegD
1044;Eebacka;Natalia;2;RegD
1045;Nabacka;Liliana;4;RegC
1047;Whbacka;Feliksa;2;RegA
1048;Tsbacki;Julian;3;RegB
1049;Ujbacki;Druzjan;3;RegC
1050;Mfbacki;Montan;2;RegA
1051;Gsbacki;Tyburcy;3;RegC
1052;Rbbacki;January;2;RegD
1053;Bwbacka;Wirginia;1;RegC
1054;Kpbacki;Klaudiusz;3;RegD
1055;Odbacki;Konstanty;3;RegA
1056;Ncbacka;Klaudia;2;RegA
1057;Mobacki;Gaudencjusz;1;RegA
1058;Rhbacki;Lucjusz;2;RegA
1059;Nubacki;Aurelian;3;RegC
1060;Ddbacki;Horacy;2;RegB
1061;Ddbacka;Wirginia;3;RegD
1062;Knbacki;Dacjan;2;RegC
1063;Fsbacki;Klaudian;3;RegA
1064;Sabacka;Lilia;4;RegA
1065;Gobacki;Sylwiusz;3;RegB
1066;Erbacka;Maura;4;RegD
1067;Cpbacka;Wirydiana;2;RegD
1068;Wobacka;Pia;4;RegD
1069;Fmbacki;Nestor;3;RegC
1070;Kobacki;Amat;1;RegA
1071;Hmbacki;Juniusz;2;RegB
1072;Swbacki;Salwator;3;RegD
1073;Nubacka;Benigna;3;RegC
1074;Nmbacka;Hadrianna;1;RegB
1075;Ocbacka;Kaja;1;RegD
1076;Nkbacka;Kordula;2;RegD
